         firefox-17168 [000] .... 19951.939174: sys_enter: NR 7 (7ffdfcc4c5c0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.939175: sys_enter: NR 20 (4, 7ffdfcc4c730, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.939176: sys_enter: NR 7 (7ffdfcc4c5e0, 1, ffffffff, 1, 0, 7fc881956008)
            Xorg-12396 [000] .... 19951.939186: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.939187: sys_enter: NR 47 (1d, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.939190: sys_enter: NR 47 (1d, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.939191: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.939193: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
            Xorg-12396 [000] .... 19951.939198: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.939198: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.939200: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe4e3c0, 1, 0)
         firefox-17168 [000] .... 19951.949283: sys_enter: NR 20 (4, 7ffdfcc4c2c0, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.949291: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.949292: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.949294: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949295: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949296: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949297: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949299: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.949305: sys_enter: NR 7 (7ffdfcc4c170, 1, ffffffff, 1, 0, 7fc881956008)
         firefox-17168 [000] .... 19951.949305: sys_enter: NR 47 (4, 7ffdfcc4c090, 0, 1, 7fc8bb3fa018, 7fc881956008)
         firefox-17168 [000] .... 19951.949307: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949307: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949309: sys_enter: NR 7 (7ffdfcc4c150, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.949309: sys_enter: NR 20 (4, 7ffdfcc4c2c0, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.949316: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.949317: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.949318: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949319: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949320: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949320: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949321: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.949327: sys_enter: NR 7 (7ffdfcc4c170, 1, ffffffff, 1, 0, c00)
         firefox-17168 [000] .... 19951.949327: sys_enter: NR 47 (4, 7ffdfcc4c090, 0, 1, 7fc8bb3fa018, c00)
         firefox-17168 [000] .... 19951.949329: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949329: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949330: sys_enter: NR 7 (7ffdfcc4c150, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.949331: sys_enter: NR 20 (4, 7ffdfcc4c2c0, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.949337: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.949338: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.949339: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949340: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.949340: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949341: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.949342: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.949347: sys_enter: NR 7 (7ffdfcc4c170, 1, ffffffff, 1, 0, 7fc881956008)
         firefox-17168 [000] .... 19951.949348: sys_enter: NR 47 (4, 7ffdfcc4c090, 0, 1, 7fc8bb3fa018, 7fc881956008)
         firefox-17168 [000] .... 19951.949349: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949350: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949351: sys_enter: NR 7 (7ffdfcc4c110, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.949351: sys_enter: NR 20 (4, 7ffdfcc4c280, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.949357: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.949358: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.949359: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.949360: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.949360: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.949362: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.949367: sys_enter: NR 7 (7ffdfcc4c130, 1, ffffffff, 1, 0, c00)
         firefox-17168 [000] .... 19951.949367: sys_enter: NR 47 (4, 7ffdfcc4c050, 0, 1, 7fc8bb3fa018, c00)
         firefox-17168 [000] .... 19951.949368: sys_enter: NR 47 (4, 7ffdfcc4c1d0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949369: sys_enter: NR 47 (4, 7ffdfcc4c1d0, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.949377: sys_enter: NR 7 (7ffdfcc4c170, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19951.949378: sys_enter: NR 20 (4, 7ffdfcc4c2e0, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.949385: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.949386: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.949388: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.949388: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.949389: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.949391: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.949396: sys_enter: NR 7 (7ffdfcc4c190, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc881956008)
         firefox-17168 [000] .... 19951.949397: sys_enter: NR 47 (4, 7ffdfcc4c0b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc881956008)
         firefox-17168 [000] .... 19951.954594: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 1, 0, 7fc88195600c)
         firefox-17168 [000] .... 19951.954595: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 1, 7fc8bb3fa018, 7fc88195600c)
         firefox-17168 [000] .... 19951.954596: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954597: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954598: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.954599: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.954606: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.954606: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.954608: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.954608: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.954609: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.954609: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.954611: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.954616: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 1, 0, 7fc88195600c)
         firefox-17168 [000] .... 19951.954617: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 1, 7fc8bb3fa018, 7fc88195600c)
         firefox-17168 [000] .... 19951.954618: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954619: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954620: sys_enter: NR 7 (7ffdfcc4c590, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.954620: sys_enter: NR 20 (4, 7ffdfcc4c700, 3, 1, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.954626: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.954627: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.954628: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.954629: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954629: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954631: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.954636: sys_enter: NR 7 (7ffdfcc4c5b0, 1, ffffffff, 1, 0, 7fc88195600c)
         firefox-17168 [000] .... 19951.954636: sys_enter: NR 47 (4, 7ffdfcc4c4d0, 0, 1, 7fc8bb3fa018, 7fc88195600c)
         firefox-17168 [000] .... 19951.954637: sys_enter: NR 47 (4, 7ffdfcc4c650, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954638: sys_enter: NR 47 (4, 7ffdfcc4c650, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954645: sys_enter: NR 7 (7ffdfcc4c5f0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19951.954646: sys_enter: NR 20 (4, 7ffdfcc4c760, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.954653: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.954653: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.954655: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.954656: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954656: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954658: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.954663: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc88195600c)
         firefox-17168 [000] .... 19951.954664: sys_enter: NR 47 (4, 7ffdfcc4c530, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc88195600c)
         firefox-17168 [000] .... 19951.954665: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954666: sys_enter: NR 47 (4, 7ffdfcc4c6b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954667: sys_enter: NR 7 (7ffdfcc4c610, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19951.954668: sys_enter: NR 20 (4, 7ffdfcc4c780, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.954674: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.954674: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.954679: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.954680: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954681: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954682: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.954688: sys_enter: NR 7 (7ffdfcc4c630, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc88195600c)
         firefox-17168 [000] .... 19951.954689: sys_enter: NR 47 (4, 7ffdfcc4c550, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc88195600c)
         firefox-17168 [000] .... 19951.954690: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954690: sys_enter: NR 47 (4, 7ffdfcc4c6d0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.954695: sys_enter: NR 7 (7ffdfcc4c600, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19951.954696: sys_enter: NR 20 (4, 7ffdfcc4c770, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19951.954703: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.954704: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.954705: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19951.954706: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19951.954706: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
           gdbus-12814 [000] .... 19951.958021: sys_enter: NR 47 (8, 7fe1a695da70, 40000000, 10, 1f33ad0, 1f33ad8)
           gdbus-12814 [000] .... 19951.958029: sys_enter: NR 1 (6, 7fe1a695dcd0, 8, 20, 7fe1a0000cd0, 7fe1a9d4a8e0)
           gdbus-12814 [000] .... 19951.958031: sys_enter: NR 1 (6, 7fe1a695dcc0, 8, 20, 7fe1a0000cd0, 2)
           gdbus-12814 [000] .... 19951.958035: sys_enter: NR 7 (7fe1a00010c0, 2, 0, 1f22900, 3, 1)
           gdbus-12814 [000] .... 19951.958094: sys_enter: NR 1 (3, 7fe1a695da60, 8, 7fe1a00079c0, 7fe1a0002c60, 0)
           gdbus-12814 [000] .... 19951.958100: sys_enter: NR 7 (7fe1a695dc00, 1, 0, 10, 7fe1a0000cc0, 29)
           gdbus-12814 [000] .... 19951.958105: sys_enter: NR 1 (6, 7fe1a695dbb0, 8, 7fe1a00073e0, 7fe1a00082f0, 0)
           gdbus-12814 [000] .... 19951.958109: sys_enter: NR 7 (7fe1a00010c0, 3, ffffffff, 1f36800, 3, 1)
           gdbus-12814 [000] .... 19951.958109: sys_enter: NR 0 (6, 7fe1a695dcf0, 10, 1f36800, 3, 1)
           gdbus-12814 [000] .... 19951.958110: sys_enter: NR 7 (7fe1a00010c0, 3, ffffffff, 1f36800, 3, 1)
 ibus-engine-sim-12812 [000] .... 19951.958114: sys_enter: NR 0 (3, 7fffdd0117d0, 10, 1f08e60, 1, 1)
 ibus-engine-sim-12812 [000] .... 19951.958126: sys_enter: NR 7 (1f2f560, 1, ffffffff, 1f08e60, 1, 1)
           gdbus-12778 [000] .... 19951.958141: sys_enter: NR 1 (3, 7f816f4b0b90, 8, 7f816802b9e0, 7f816800ae60, 0)
     ibus-daemon-12775 [000] .... 19951.958144: sys_enter: NR 202 (1330140, 80, 2, 0, 1, 1)
           gdbus-12778 [000] .... 19951.958146: sys_enter: NR 202 (1330140, 81, 1, 0, 0, 7f816800ae60)
     ibus-daemon-12775 [000] .... 19951.958147: sys_enter: NR 0 (3, 7ffc92f401a0, 10, 0, 1, 1)
     ibus-daemon-12775 [000] .... 19951.958148: sys_enter: NR 202 (1330140, 81, 1, 0, 1, ffffffff00000000)
     ibus-daemon-12775 [000] .... 19951.958152: sys_enter: NR 7 (13461e0, 2, ffffffff, 13af6a0, 2, 1)
           gdbus-12778 [000] .... 19951.958173: sys_enter: NR 46 (a, 7f816f4b0b80, 4000, 10, 0, 0)
           gdbus-12809 [000] .... 19951.958182: sys_enter: NR 0 (a, 7fcc9f289ab0, 10, d44040, 3, 1)
           gdbus-12809 [000] .... 19951.958187: sys_enter: NR 1 (a, 7fcc9f289a90, 8, 20, 7fcc90000cd0, c)
           gdbus-12809 [000] .... 19951.958190: sys_enter: NR 47 (c, 7fcc9f289980, 40000000, 20, d20090, d20098)
           gdbus-12809 [000] .... 19951.958199: sys_enter: NR 7 (7fcc9f289920, 1, 0, 10, 7fcc90000cc0, a)
           gdbus-12809 [000] .... 19951.958200: sys_enter: NR 47 (c, 7fcc9f289830, 40000000, 10, d20090, d20098)
           gdbus-12809 [000] .... 19951.958208: sys_enter: NR 1 (a, 7fcc9f289a90, 8, 20, 7fcc90000cd0, 7fcca92d18e0)
           gdbus-12809 [000] .... 19951.958210: sys_enter: NR 1 (a, 7fcc9f289a80, 8, 20, 7fcc90000cd0, f)
           gdbus-12809 [000] .... 19951.958214: sys_enter: NR 7 (7fcc900010c0, 2, 0, cff240, 3, 1)
           gdbus-12809 [000] .... 19951.958264: sys_enter: NR 1 (4, 7fcc9f289820, 8, 7fcc900289a0, 7fcc90010090, 0)
           gdbus-12809 [000] .... 19951.958268: sys_enter: NR 7 (7fcc9f2899c0, 1, 0, 10, 7fcc90000cc0, e)
           gdbus-12809 [000] .... 19951.958274: sys_enter: NR 1 (a, 7fcc9f289970, 8, 7fcc9001a3a0, 7fcc900277e0, 0)
           gdbus-12809 [000] .... 19951.958277: sys_enter: NR 7 (7fcc900010c0, 3, ffffffff, d440c0, 3, 1)
           gdbus-12809 [000] .... 19951.958278: sys_enter: NR 0 (a, 7fcc9f289ab0, 10, d440c0, 3, 1)
           gdbus-12809 [000] .... 19951.958278: sys_enter: NR 7 (7fcc900010c0, 3, ffffffff, d440c0, 3, 1)
    ibus-ui-gtk3-12792 [000] .... 19951.958282: sys_enter: NR 0 (4, 7fff23c669a0, 10, d450c0, 3, 1)
    ibus-ui-gtk3-12792 [000] .... 19951.958305: sys_enter: NR 47 (3, 7fff23c667f0, 0, 20, c9bcf8, 0)
    ibus-ui-gtk3-12792 [000] .... 19951.958309: sys_enter: NR 7 (d1c780, 3, ffffffff, d450c0, 3, 1)
 alsa-sink-ES137-2050  [000] .... 19951.958401: sys_enter: NR 0 (2f, 7fedb2d47c40, 80, 0, 0, 0)
 alsa-sink-ES137-2050  [000] .... 19951.958406: sys_enter: NR 16 (30, 4122, 1087900, 0, 0, 0)
 alsa-sink-ES137-2050  [000] .... 19951.958449: sys_enter: NR 16 (30, 4122, 1087900, cea, 7fedb879b000, bb2000000000044e)
 alsa-sink-ES137-2050  [000] .... 19951.958473: sys_enter: NR 16 (30, c0984124, 7fedb2d47c00, fa9690, 1087900, 0)
 alsa-sink-ES137-2050  [000] .... 19951.958496: sys_enter: NR 271 (fd8500, 5, 0, 0, 8, 0)
           gdbus-12778 [000] .... 19951.958504: sys_enter: NR 7 (7f816801b2b0, f, 0, 7f8168001800, f, 1)
           gdbus-12778 [000] .... 19951.958507: sys_enter: NR 0 (6, 7f816f4b0cf0, 10, 7f8168001800, f, 1)
           gdbus-12778 [000] .... 19951.958522: sys_enter: NR 7 (7f816801b2b0, f, ffffffff, 7f8168001800, f, 1)
            Xorg-12396 [000] .... 19951.958530: sys_enter: NR 47 (2d, 7ffe35f14610, 0, 1, 1000, 1)
        Telegram-13233 [000] .... 19951.961852: sys_enter: NR 0 (6, 7ffdfdf6d250, 10, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19951.961880: sys_enter: NR 1 (6, 7ffdfdf6cbc0, 8, 44f6a20, 1, 26)
        Telegram-13233 [000] .... 19951.961886: sys_enter: NR 47 (f, 7ffdfdf6d0a0, 0, 44f6a20, 3ff2728, 26)
        Telegram-13233 [000] .... 19951.961890: sys_enter: NR 7 (3f3a700, 6, 0, 40f8060, 7, 1)
        Telegram-13233 [000] .... 19951.961901: sys_enter: NR 7 (7ffdfdf6c7e0, 1, ffffffff, 4e487f0, 0, 0)
        Telegram-13233 [000] .... 19951.961903: sys_enter: NR 20 (4, 7ffdfdf6c910, 1, 4e487f0, 3de5d08, 0)
        Telegram-13233 [000] .... 19951.961906: sys_enter: NR 202 (7ffdfdf6c994, 80, 1, 0, 3de5d00, 0)
         firefox-17630 [000] .... 19951.961913: sys_enter: NR 23 (0, 0, 0, 0, 7fc8703faee8, 2)
     JS Watchdog-17181 [000] .... 19951.961923: sys_enter: NR 202 (7fc8a472b530, 81, 1, 7fc8bb3e8380, 0, 6ca)
     JS Watchdog-17181 [000] .... 19951.961923: sys_enter: NR 202 (7fc8a829b0cc, 189, d97, 7fc8a32f2e28, 7fc8a472b530, ffffffff)
         firefox-17168 [000] .... 19951.962117: sys_enter: NR 7 (7ffdfcc4c0d0, 1, ffffffff, 1, 0, 0)
         firefox-17168 [000] .... 19951.962120: sys_enter: NR 20 (4, 7ffdfcc4c240, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.962126: sys_enter: NR 7 (7ffdfcc4c0f0, 1, ffffffff, 7fc8bb400221, 0, 7fc881956008)
           Timer-17189 [000] .... 19951.962601: sys_enter: NR 202 (7fc8a9a11f80, 81, 1, 7fc865ec4008, 0, 35)
           Timer-17189 [000] .... 19951.962605: sys_enter: NR 1 (1d, 7fc89e0feb57, 1, 7fc865ec4008, 7fc8a9a9f4c8, 35)
         firefox-17168 [000] .... 19951.977548: sys_enter: NR 20 (4, 7ffdfcc4c710, 3, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.977550: sys_enter: NR 7 (7ffdfcc4c5c0, 1, ffffffff, 100, 0, d00)
            Xorg-12396 [000] .... 19951.977555: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19951.977556: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19951.977557: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
         firefox-17168 [000] .... 19951.977560: sys_enter: NR 47 (4, 7ffdfcc4c4e0, 0, 100, 7fc8bb3fa018, d00)
         firefox-17168 [000] .... 19951.977561: sys_enter: NR 45 (4, 7fc8895249c0, 4, 0, 0, 0)
         firefox-17168 [000] .... 19951.977561: sys_enter: NR 7 (7ffdfcc4c450, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19951.977563: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe52ee0, 1, 0)
            Xorg-12396 [000] .... 19951.977564: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.977564: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d1fe52ee0, 1000, 1)
            Xorg-12396 [000] .... 19951.977566: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19951.977571: sys_enter: NR 45 (4, 7fc8895249c0, 4, 0, 0, 0)
         firefox-17168 [000] .... 19951.977573: sys_enter: NR 47 (4, 7ffdfcc4c660, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.977573: sys_enter: NR 47 (4, 7ffdfcc4c660, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.977575: sys_enter: NR 7 (7ffdfcc4c5a0, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19951.977575: sys_enter: NR 20 (4, 7ffdfcc4c710, 3, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19951.977576: sys_enter: NR 7 (7ffdfcc4c5c0, 1, ffffffff, 0, 0, 7fc881956008)
