            Xorg-12396 [000] .... 19948.892974: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d1fe66f90, 1000, 1)
            Xorg-12396 [000] .... 19948.892975: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892976: sys_enter: NR 47 (4, 7ffdfcc4c510, 0, 0, 7fc8bb3fa018, 7fc8818b2000)
         firefox-17168 [000] .... 19948.892977: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892978: sys_enter: NR 7 (7ffdfcc4c480, 1, ffffffff, 0, 0, 0)
            Xorg-12396 [000] .... 19948.892979: sys_enter: NR 20 (2f, 7ffe35f14790, 1, 562d1fe66f90, 1, 0)
         firefox-17168 [000] .... 19948.892980: sys_enter: NR 45 (4, 7fc889341390, 4, 0, 0, 0)
         firefox-17168 [000] .... 19948.892981: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892982: sys_enter: NR 47 (4, 7ffdfcc4c690, 0, 0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.892983: sys_enter: NR 7 (7ffdfcc4c5d0, 1, ffffffff, 0, 0, 0)
         firefox-17168 [000] .... 19948.892983: sys_enter: NR 20 (4, 7ffdfcc4c740, 3, 0, 7fc8bb3fa018, 0)
            Xorg-12396 [000] .... 19948.935737: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.935739: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.935740: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935741: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935743: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.935748: sys_enter: NR 47 (4, 7ffdfcc4c1b0, 0, 1, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.935750: sys_enter: NR 47 (4, 7ffdfcc4c330, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935751: sys_enter: NR 47 (4, 7ffdfcc4c330, 0, 1, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935760: sys_enter: NR 7 (7ffdfcc4c2d0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.935761: sys_enter: NR 20 (4, 7ffdfcc4c440, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935762: sys_enter: NR 7 (7ffdfcc4c2f0, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.935769: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.935770: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.935771: sys_enter: NR 20 (2f, 7ffe35f147b0, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.935772: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935773: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935775: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.935780: sys_enter: NR 47 (4, 7ffdfcc4c210, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.935782: sys_enter: NR 47 (4, 7ffdfcc4c390, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935782: sys_enter: NR 47 (4, 7ffdfcc4c390, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935784: sys_enter: NR 7 (7ffdfcc4c2f0, 1, ffffffff, 7fc8bb39f4e0, 0, 0)
         firefox-17168 [000] .... 19948.935785: sys_enter: NR 20 (4, 7ffdfcc4c460, 3, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
         firefox-17168 [000] .... 19948.935786: sys_enter: NR 7 (7ffdfcc4c310, 1, ffffffff, 7fc8bb39f4e0, 0, 7fc8818b2004)
            Xorg-12396 [000] .... 19948.935791: sys_enter: NR 38 (0, 7ffe35f14630, 0, 562d19b2d6e0, 0, 0)
            Xorg-12396 [000] .... 19948.935792: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 562d19b1e200, 1000, 1)
            Xorg-12396 [000] .... 19948.935797: sys_enter: NR 20 (2f, 7ffe35f14770, 1, 1, 1, 0)
            Xorg-12396 [000] .... 19948.935798: sys_enter: NR 47 (2f, 7ffe35f14610, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935799: sys_enter: NR 38 (0, 7ffe35f14630, 0, 1, 1000, 1)
            Xorg-12396 [000] .... 19948.935800: sys_enter: NR 23 (200, 562d19b2fa40, 0, 0, 562d19b266c0, 0)
         firefox-17168 [000] .... 19948.935805: sys_enter: NR 47 (4, 7ffdfcc4c230, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 7fc8818b2004)
         firefox-17168 [000] .... 19948.935807: sys_enter: NR 47 (4, 7ffdfcc4c3b0, 0, 7fc8bb39f4e0, 7fc8bb3fa018, 0)
